scenario,x_value,seed,method,metric,value,users,rbs,samples_per_user,round,objective,selected_mass,mean_packet_error,matching_work_units,fractional_mass_ratio,runtime_seconds
linear_samples,20,0,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0009981117,15,12,20,0,65.8063237302,12.0000000000,0.0241930155,23128.5335573393,0.0000000000,0.0011415000
linear_samples,20,0,Continuous-LP(HiGHS),linear_regression_mse,0.0024500891,15,12,20,0,64.1755163497,12.0000000000,0.0173979848,32580.0000000000,0.0000000000,0.0017957001
linear_samples,20,0,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0026430407,15,12,20,0,70.0155566867,11.9999995123,0.0417314473,729180.0000000000,0.9999999779,0.0005492000
linear_samples,20,1,Paper-Hungarian,linear_regression_mse,0.0030066676,15,12,20,0,64.0697625012,12.0000000000,0.0169573438,2340.0000000000,0.0000000000,0.0000501999
linear_samples,20,1,Paper-OptUser-RandomRB,linear_regression_mse,0.0059276117,15,12,20,0,148.7784073145,9.0000000000,0.1598800406,180.0000000000,0.0000000000,0.0000620999
linear_samples,20,1,Paper-RandomUserRB,linear_regression_mse,0.0050868004,15,12,20,0,95.0832015190,12.0000000000,0.1461800063,180.0000000000,0.0000000000,0.0000288000
linear_samples,20,1,Paper-Wireless-PER,linear_regression_mse,0.0030066676,15,12,20,0,64.0697625012,12.0000000000,0.0169573438,2340.0000000000,0.0000000000,0.0000199999
linear_samples,20,1,LP-Relax+Projection,linear_regression_mse,0.0030066676,15,12,20,0,64.0697625012,12.0000000000,0.0169573438,2340.0000000000,0.0000000000,0.0029012999
linear_samples,20,1,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0010505377,15,12,20,0,65.2667563129,12.0000000000,0.0219448180,23128.5335573393,0.0000000000,0.0016059000
linear_samples,20,1,Continuous-LP(HiGHS),linear_regression_mse,0.0030066676,15,12,20,0,64.0697625012,12.0000000000,0.0169573438,32580.0000000000,0.0000000000,0.0022563001
linear_samples,20,1,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0033771647,15,12,20,0,68.9589029351,11.9999993831,0.0373287127,729180.0000000000,0.9999998299,0.0006515000
linear_samples,20,2,Paper-Hungarian,linear_regression_mse,0.0000265921,15,12,20,0,64.5519570690,12.0000000000,0.0189664878,2340.0000000000,0.0000000000,0.0000725000
linear_samples,20,2,Paper-OptUser-RandomRB,linear_regression_mse,0.0003295227,15,12,20,0,144.4170951498,9.0000000000,0.1356505286,180.0000000000,0.0000000000,0.0000431000
linear_samples,20,2,Paper-RandomUserRB,linear_regression_mse,0.0000316347,15,12,20,0,126.0858290939,11.0000000000,0.2094810413,180.0000000000,0.0000000000,0.0000219001
linear_samples,20,2,Paper-Wireless-PER,linear_regression_mse,0.0000265921,15,12,20,0,64.5519570690,12.0000000000,0.0189664878,2340.0000000000,0.0000000000,0.0000159999
linear_samples,20,2,LP-Relax+Projection,linear_regression_mse,0.0000265921,15,12,20,0,64.5519570690,12.0000000000,0.0189664878,2340.0000000000,0.0000000000,0.0025807000
linear_samples,20,2,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0000548043,15,12,20,0,66.3607710600,12.0000000000,0.0265032127,23128.5335573393,0.0000000000,0.0015551001
linear_samples,20,2,Continuous-LP(HiGHS),linear_regression_mse,0.0000265921,15,12,20,0,64.5519570690,12.0000000000,0.0189664878,32580.0000000000,0.0000000000,0.0023027998
linear_samples,20,2,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0000756784,15,12,20,0,70.8683419964,11.9999994083,0.0452847112,729180.0000000000,0.9999999713,0.0007549999
linear_samples,30,0,Paper-Hungarian,linear_regression_mse,0.0003816819,15,12,30,0,94.1908229904,12.0000000000,0.0116411750,2340.0000000000,0.0000000000,0.0000396001
linear_samples,30,0,Paper-OptUser-RandomRB,linear_regression_mse,0.0032885704,15,12,30,0,226.5025169987,8.0000000000,0.0687604875,180.0000000000,0.0000000000,0.0000491999
linear_samples,30,0,Paper-RandomUserRB,linear_regression_mse,0.0013071814,15,12,30,0,113.2870249344,12.0000000000,0.0646861804,180.0000000000,0.0000000000,0.0000261001
linear_samples,30,0,Paper-Wireless-PER,linear_regression_mse,0.0003816819,15,12,30,0,94.1908229904,12.0000000000,0.0116411750,2340.0000000000,0.0000000000,0.0000198002
linear_samples,30,0,LP-Relax+Projection,linear_regression_mse,0.0003816819,15,12,30,0,94.1908229904,12.0000000000,0.0116411750,2340.0000000000,0.0000000000,0.0018652000
linear_samples,30,0,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0007214799,15,12,30,0,96.5295202893,12.0000000000,0.0181375564,23128.5335573393,0.0000000000,0.0010654000
linear_samples,30,0,Continuous-LP(HiGHS),linear_regression_mse,0.0003816819,15,12,30,0,94.1908229904,12.0000000000,0.0116411750,32580.0000000000,0.0000000000,0.0017366000
linear_samples,30,0,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0007632656,15,12,30,0,100.3454628995,12.0000000000,0.0287373969,729180.0000000000,0.9999998371,0.0006672000
linear_samples,30,1,Paper-Hungarian,linear_regression_mse,0.0002741719,15,12,30,0,96.0385452157,12.0000000000,0.0167737367,2340.0000000000,0.0000000000,0.0000407000
linear_samples,30,1,Paper-OptUser-RandomRB,linear_regression_mse,0.0013814135,15,12,30,0,154.9932197224,11.0000000000,0.1060400598,180.0000000000,0.0000000000,0.0000431000
linear_samples,30,1,Paper-RandomUserRB,linear_regression_mse,0.0004742274,15,12,30,0,171.3114780129,12.0000000000,0.2258652167,180.0000000000,0.0000000000,0.0000221999
linear_samples,30,1,Paper-Wireless-PER,linear_regression_mse,0.0002741719,15,12,30,0,96.0385452157,12.0000000000,0.0167737367,2340.0000000000,0.0000000000,0.0000168001
linear_samples,30,1,LP-Relax+Projection,linear_regression_mse,0.0002741719,15,12,30,0,96.0385452157,12.0000000000,0.0167737367,2340.0000000000,0.0000000000,0.0024571000
linear_samples,30,1,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0003444244,15,12,30,0,99.0032764402,12.0000000000,0.0250091012,23128.5335573393,0.0000000000,0.0012043002
linear_samples,30,1,Continuous-LP(HiGHS),linear_regression_mse,0.0002741719,15,12,30,0,96.0385452157,12.0000000000,0.0167737367,32580.0000000000,0.0000000000,0.0023835001
linear_samples,30,1,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0002176201,15,12,30,0,101.8722849806,12.0000000000,0.0329785694,729180.0000000000,0.9999999738,0.0005796000
linear_samples,30,2,Paper-Hungarian,linear_regression_mse,0.0001162950,15,12,30,0,95.8937145983,12.0000000000,0.0163714294,2340.0000000000,0.0000000000,0.0000376999
linear_samples,30,2,Paper-OptUser-RandomRB,linear_regression_mse,0.0006523920,15,12,30,0,214.9847094933,9.0000000000,0.1295729981,180.0000000000,0.0000000000,0.0000438001
linear_samples,30,2,Paper-RandomUserRB,linear_regression_mse,0.0005206240,15,12,30,0,195.8829626795,11.0000000000,0.2299483718,180.0000000000,0.0000000000,0.0000221999
linear_samples,30,2,Paper-Wireless-PER,linear_regression_mse,0.0001162950,15,12,30,0,95.8937145983,12.0000000000,0.0163714294,2340.0000000000,0.0000000000,0.0000153000
linear_samples,30,2,LP-Relax+Projection,linear_regression_mse,0.0001162950,15,12,30,0,95.8937145983,12.0000000000,0.0163714294,2340.0000000000,0.0000000000,0.0020953000
linear_samples,30,2,Hybrid-Score-Greedy(alpha=0.25),linear_regression_mse,0.0000701062,15,12,30,0,97.0119032697,12.0000000000,0.0194775091,23128.5335573393,0.0000000000,0.0012988001
linear_samples,30,2,Continuous-LP(HiGHS),linear_regression_mse,0.0001162950,15,12,30,0,95.8937145983,12.0000000000,0.0163714294,32580.0000000000,0.0000000000,0.0023808000
linear_samples,30,2,Soft-Entropy-KKT(tau=1),linear_regression_mse,0.0000161016,15,12,30,0,102.4424721305,12.0000000000,0.0345624226,729180.0000000000,0.9999998312,0.0009458000
linear_samples,40,0,Paper-Hungarian,linear_regression_mse,0.0004006305,15,12,40,0,124.8405584864,12.0000000000,0.0100844968,2340.0000000000,0.0000000000,0.0000366999
linear_samples,40,0,Paper-OptUser-RandomRB,linear_regression_mse,0.0001619093,15,12,40,0,371.2255081018,6.0000000000,0.0467729504,180.0000000000,0.0000000000,0.0000541001
linear_samples,40,0,Paper-RandomUserRB,linear_regression_mse,0.0020346033,15,12,40,0,161.8510451451,12.0000000000,0.0871896774,180.0000000000,0.0000000000,0.0000260998
linear_samples,40,0,Paper-Wireless-PER,linear_regression_mse,0.0004006305,15,12,40,0,124.8405584864,12.0000000000,0.0100844968,2340.0000000000,0.0000000000,0.0000195000
linear_samples,40,0,LP-Relax+Projection,linear_regression_mse,0.0004006305,15,12,40,0,124.8405584864,12.0000000000,0.0100844968,2340.0000000000,0.0000000000,0.0030752001
