scenario,x_value,method,metric,runs,value_mean,value_std,objective_mean,selected_mass_mean,mean_packet_error_mean,matching_work_units_mean,fractional_mass_ratio_mean,runtime_seconds_mean
convergence_users,18,Paper-RandomUserRB,normalized_convergence_gap,3,0.4371606094,0.0058937363,800.8973343191,12.0000000000,0.1751356241,216.0000000000,0.0000000000,0.0000289667
convergence_users,18,Paper-Wireless-PER,normalized_convergence_gap,3,0.3820162208,0.0658175165,705.1000313990,12.0000000000,0.0185076590,2808.0000000000,0.0000000000,0.0000211999
convergence_users,18,Soft-Entropy-KKT(tau=1),normalized_convergence_gap,3,0.1912013492,0.0245744352,352.2779880240,12.0000000000,0.0316328105,900216.0000000000,0.9999997810,0.0065901334
convergence_users,20,Continuous-LP(HiGHS),normalized_convergence_gap,3,0.2217156380,0.0223388818,478.7311940336,12.0000000000,0.0222785229,57840.0000000000,0.0000000000,0.0021597334
convergence_users,20,Hybrid-Score-Greedy(alpha=0.25),normalized_convergence_gap,3,0.2302563841,0.0248926890,497.6324894482,12.0000000000,0.0308004657,30937.6537429460,0.0000000000,0.0012013667
convergence_users,20,LP-Relax+Projection,normalized_convergence_gap,3,0.2217156380,0.0223388818,478.7311940336,12.0000000000,0.0222785229,3120.0000000000,0.0000000000,0.0029758333
convergence_users,20,Paper-Hungarian,normalized_convergence_gap,3,0.2217156380,0.0223388818,478.7311940336,12.0000000000,0.0222785229,3120.0000000000,0.0000000000,0.0000718667
convergence_users,20,Paper-OptUser-RandomRB,normalized_convergence_gap,3,0.5171064664,0.0354666811,1110.4003685093,9.3333333333,0.0522611642,240.0000000000,0.0000000000,0.0000887667
convergence_users,20,Paper-RandomUserRB,normalized_convergence_gap,3,0.4395713213,0.0148745507,940.5262926787,11.6666666667,0.1258294527,240.0000000000,0.0000000000,0.0000394333
convergence_users,20,Paper-Wireless-PER,normalized_convergence_gap,3,0.4165504596,0.0177178691,885.2212587179,12.0000000000,0.0114125743,3120.0000000000,0.0000000000,0.0000295000
convergence_users,20,Soft-Entropy-KKT(tau=1),normalized_convergence_gap,3,0.2242284071,0.0218917475,483.9581406036,12.0000000000,0.0253953244,1024240.0000000000,0.9999997158,0.0070324999
digit_iterations,0,Continuous-LP(HiGHS),digit_accuracy,3,0.0985691574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
digit_iterations,0,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.0985691574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
digit_iterations,0,LP-Relax+Projection,digit_accuracy,3,0.0985691574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
digit_iterations,0,Paper-Hungarian,digit_accuracy,3,0.0985691574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
digit_iterations,0,Paper-OptUser-RandomRB,digit_accuracy,3,0.0985691574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
digit_iterations,0,Paper-RandomUserRB,digit_accuracy,3,0.0985691574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
digit_iterations,0,Paper-Wireless-PER,digit_accuracy,3,0.0985691574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
digit_iterations,0,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.0985691574,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
digit_iterations,2,Continuous-LP(HiGHS),digit_accuracy,3,0.5527291998,0.0294392038,248.7612909852,12.0000000000,0.0164965090,32580.0000000000,0.0000000000,0.0020098333
digit_iterations,2,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.5368309486,0.1009702371,254.2400986254,12.0000000000,0.0220086299,23128.5335573393,0.0000000000,0.0011381000
digit_iterations,2,LP-Relax+Projection,digit_accuracy,3,0.5527291998,0.0294392038,248.7612909852,12.0000000000,0.0164965090,2340.0000000000,0.0000000000,0.0023149333
digit_iterations,2,Paper-Hungarian,digit_accuracy,3,0.5527291998,0.0294392038,248.7612909852,12.0000000000,0.0164965090,2340.0000000000,0.0000000000,0.0000574333
digit_iterations,2,Paper-OptUser-RandomRB,digit_accuracy,3,0.3047164812,0.1155977673,582.7721598105,8.6666666667,0.1324648818,180.0000000000,0.0000000000,0.0000472333
digit_iterations,2,Paper-RandomUserRB,digit_accuracy,3,0.4117647059,0.0454886353,469.0358036155,11.0000000000,0.1817895023,180.0000000000,0.0000000000,0.0000255334
digit_iterations,2,Paper-Wireless-PER,digit_accuracy,3,0.5733969263,0.0489213986,249.0260689602,12.0000000000,0.0164283422,2340.0000000000,0.0000000000,0.0000191333
digit_iterations,2,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.5924748278,0.0900214833,255.2916494154,12.0000000000,0.0232904430,729180.0000000000,0.9999999064,0.0012794000
digit_iterations,4,Continuous-LP(HiGHS),digit_accuracy,3,0.6475887652,0.0274241633,250.0952188452,12.0000000000,0.0186435549,32580.0000000000,0.0000000000,0.0018450667
digit_iterations,4,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.6248012718,0.0315036862,255.0369967785,12.0000000000,0.0228886620,23128.5335573393,0.0000000000,0.0011480000
digit_iterations,4,LP-Relax+Projection,digit_accuracy,3,0.6475887652,0.0274241633,250.0952188452,12.0000000000,0.0186435549,2340.0000000000,0.0000000000,0.0026201001
digit_iterations,4,Paper-Hungarian,digit_accuracy,3,0.6475887652,0.0274241633,250.0952188452,12.0000000000,0.0186435549,2340.0000000000,0.0000000000,0.0000466334
digit_iterations,4,Paper-OptUser-RandomRB,digit_accuracy,3,0.5119236884,0.1094634330,443.9584473794,10.3333333333,0.0996609488,180.0000000000,0.0000000000,0.0000485333
digit_iterations,4,Paper-RandomUserRB,digit_accuracy,3,0.5283518813,0.0579408318,385.8246352647,11.6666666667,0.1379984374,180.0000000000,0.0000000000,0.0000246334
digit_iterations,4,Paper-Wireless-PER,digit_accuracy,3,0.6565977742,0.0314769314,250.3567308878,12.0000000000,0.0182317076,2340.0000000000,0.0000000000,0.0000166999
digit_iterations,4,Soft-Entropy-KKT(tau=1),digit_accuracy,3,0.7392686804,0.0420026862,257.1600166372,12.0000000000,0.0256998535,729180.0000000000,0.9999997782,0.0012580667
digit_iterations,6,Continuous-LP(HiGHS),digit_accuracy,3,0.7027027027,0.0277499257,244.2147692081,12.0000000000,0.0123397388,32580.0000000000,0.0000000000,0.0020993666
digit_iterations,6,Hybrid-Score-Greedy(alpha=0.25),digit_accuracy,3,0.7058823529,0.0326592028,249.0126886811,12.0000000000,0.0167859935,23128.5335573393,0.0000000000,0.0012250667
digit_iterations,6,LP-Relax+Projection,digit_accuracy,3,0.7027027027,0.0277499257,244.2147692081,12.0000000000,0.0123397388,2340.0000000000,0.0000000000,0.0034289333
