scenario,x_value,seed,users,rbs,method,linear_objective,linear_gap_pct,entropy_objective,soft_mass,expected_successful_samples,mean_packet_error,fl_quality,fractional_mass_ratio,kkt_residual,runtime_seconds
users,20,32023,20,12,Soft-Entropy-KKT(tau=25),736.4947179041,45.7265098822,-2544.9240839604,11.6057906345,1405.5052820959,0.0768631012,0.6561649310,1.0000000000,3.5606406712e-11,0.0002005000
users,20,32024,20,12,Hungarian(reference),499.6252103313,0.0000000000,499.6252103313,12.0000000000,1705.3747896687,0.0371657085,0.7734126030,0.0000000000,0.0000000000e+00,0.0000476999
users,20,32024,20,12,Continuous-LP(HiGHS),499.6252103313,0.0000000000,499.6252103313,12.0000000000,1705.3747896687,0.0371657085,0.7734126030,0.0000000000,0.0000000000e+00,0.0034421000
users,20,32024,20,12,Soft-Entropy-KKT(tau=1),505.5601694512,1.1878822360,400.7078586054,12.0000000000,1699.4398305488,0.0390140487,0.7707210116,0.9999997765,6.3408611695e-11,0.0022095001
users,20,32024,20,12,Soft-Entropy-KKT(tau=5),533.7954774909,6.8391799399,-49.5321900306,11.9999984164,1671.2045225091,0.0533568865,0.7579158832,0.9999996694,9.3830387904e-11,0.0015929000
users,20,32024,20,12,Soft-Entropy-KKT(tau=25),720.3049665764,44.1690594633,-2532.9591895647,11.5151235835,1484.6950334236,0.0893072011,0.6733310809,1.0000000000,2.8865798640e-15,0.0005096000
users,30,33030,30,12,Hungarian(reference),1167.4584885749,0.0000000000,1167.4584885749,12.0000000000,2046.5415114251,0.0203180383,0.6367584043,0.0000000000,0.0000000000e+00,0.0000497000
users,30,33030,30,12,Continuous-LP(HiGHS),1167.4584885749,0.0000000000,1167.4584885749,12.0000000000,2046.5415114251,0.0203180383,0.6367584043,0.0000000000,0.0000000000e+00,0.0025610999
users,30,33030,30,12,Soft-Entropy-KKT(tau=1),1171.9228529134,0.3824002637,1014.2905984666,12.0000000000,2042.0771470866,0.0223717257,0.6353693675,0.9999996737,8.8992588982e-04,0.0040312000
users,30,33030,30,12,Soft-Entropy-KKT(tau=5),1200.9149562310,2.8657522288,357.0525731869,11.9999999999,2013.0850437690,0.0314849195,0.6263488002,0.9999996775,2.5301316597e-11,0.0010694000
users,30,33030,30,12,Soft-Entropy-KKT(tau=25),1390.3829525924,19.0948514400,-3188.1946330883,11.9013811177,1823.6170474076,0.0610199994,0.5673979612,1.0000000000,4.0412118096e-14,0.0002823001
users,30,33031,30,12,Hungarian(reference),1039.8220115495,0.0000000000,1039.8220115495,12.0000000000,1416.1779884505,0.0415021904,0.5766197021,0.0000000000,0.0000000000e+00,0.0000543001
users,30,33031,30,12,Continuous-LP(HiGHS),1039.8220115495,0.0000000000,1039.8220115495,12.0000000000,1416.1779884505,0.0415021904,0.5766197021,0.0000000000,0.0000000000e+00,0.0028272000
users,30,33031,30,12,Soft-Entropy-KKT(tau=1),1044.3112286277,0.4317293756,887.7405825566,12.0000000000,1411.6887713723,0.0422649565,0.5747918450,0.9999994698,7.3920203292e-11,0.0020010000
users,30,33031,30,12,Soft-Entropy-KKT(tau=5),1082.9936196672,4.1518267202,226.2031053302,11.9999958027,1373.0063803328,0.0613033415,0.5590416858,0.9999992448,8.1956663678e-13,0.0005915000
users,30,33031,30,12,Soft-Entropy-KKT(tau=25),1311.1279273105,26.0915726680,-3414.3757899612,11.5933349787,1144.8720726895,0.1017143430,0.4661531241,1.0000000000,8.8817841970e-16,0.0002375999
users,30,33032,30,12,Hungarian(reference),1263.7867312198,0.0000000000,1263.7867312198,12.0000000000,1766.2132687802,0.0156694572,0.5829086696,0.0000000000,0.0000000000e+00,0.0000500000
users,30,33032,30,12,Continuous-LP(HiGHS),1263.7867312198,0.0000000000,1263.7867312198,12.0000000000,1766.2132687802,0.0156694572,0.5829086696,0.0000000000,0.0000000000e+00,0.0023804001
users,30,33032,30,12,Soft-Entropy-KKT(tau=1),1269.1052792148,0.4208422089,1109.7010262853,12.0000000000,1760.8947207852,0.0187919551,0.5811533732,0.9999995860,3.5439429169e-11,0.0020676999
users,30,33032,30,12,Soft-Entropy-KKT(tau=5),1303.5204890922,3.1440239790,437.2683809306,11.9999999905,1726.4795109078,0.0316678016,0.5697952181,0.9999989731,3.0799807149e-12,0.0007593000
users,30,33032,30,12,Soft-Entropy-KKT(tau=25),1483.7171377745,17.4024937216,-3198.4637962559,11.8464931673,1546.2828622255,0.0547567871,0.5103243770,1.0000000000,7.6938455607e-14,0.0002099000
users,30,33033,30,12,Hungarian(reference),1469.5331000260,0.0000000000,1469.5331000260,12.0000000000,1892.4668999740,0.0203000193,0.5628991374,0.0000000000,0.0000000000e+00,0.0000645999
users,30,33033,30,12,Continuous-LP(HiGHS),1469.5331000260,0.0000000000,1469.5331000260,12.0000000000,1892.4668999740,0.0203000193,0.5628991374,0.0000000000,0.0000000000e+00,0.0040359000
users,30,33033,30,12,Soft-Entropy-KKT(tau=1),1474.1997948458,0.3175630967,1316.7638350991,12.0000000000,1887.8002051542,0.0222256003,0.5615110664,0.9999996797,6.1754761305e-09,0.0042988000
users,30,33033,30,12,Soft-Entropy-KKT(tau=5),1506.8685009341,2.5406301435,654.6890902069,11.9999999996,1855.1314990659,0.0329843712,0.5517940211,0.9999976079,8.1650686212e-11,0.0012785000
users,30,33033,30,12,Soft-Entropy-KKT(tau=25),1714.0039690039,16.6359552550,-2940.4636077545,11.8967994202,1647.9960309961,0.0613144093,0.4901832335,1.0000000000,1.2889689316e-13,0.0002845001
users,30,33034,30,12,Hungarian(reference),1321.4198687646,0.0000000000,1321.4198687646,12.0000000000,2097.5801312354,0.0315649790,0.6135069117,0.0000000000,0.0000000000e+00,0.0000479000
users,30,33034,30,12,Continuous-LP(HiGHS),1321.4198687646,0.0000000000,1321.4198687646,12.0000000000,2097.5801312354,0.0315649790,0.6135069117,0.0000000000,0.0000000000e+00,0.0022364999
users,30,33034,30,12,Soft-Entropy-KKT(tau=1),1325.3301430699,0.2959145990,1171.1978184991,12.0000000000,2093.6698569301,0.0326033770,0.6123632223,0.9999996381,3.2411029884e-04,0.0049476000
users,30,33034,30,12,Soft-Entropy-KKT(tau=5),1353.9358027092,2.4606814770,528.4726726202,12.0000000000,2065.0641972908,0.0429017784,0.6039965479,0.9999990144,5.4361515289e-11,0.0015175000
users,30,33034,30,12,Soft-Entropy-KKT(tau=25),1600.5138068725,21.1207614404,-2986.1668676841,11.9002394701,1818.4861931275,0.0801547468,0.5318766286,1.0000000000,1.0436096431e-14,0.0002976001
users,50,35050,50,12,Hungarian(reference),3526.3476893899,0.0000000000,3526.3476893899,12.0000000000,2011.6523106101,0.0142405509,0.3632452710,0.0000000000,0.0000000000e+00,0.0000616000
users,50,35050,50,12,Continuous-LP(HiGHS),3526.3476893899,0.0000000000,3526.3476893899,12.0000000000,2011.6523106101,0.0142405509,0.3632452710,0.0000000000,0.0000000000e+00,0.0035967000
users,50,35050,50,12,Soft-Entropy-KKT(tau=1),3532.4747702674,0.1737514680,3259.3247533408,12.0000000000,2005.5252297326,0.0166636928,0.3621389003,0.9999995580,8.7756801825e-11,0.0027003001
users,50,35050,50,12,Soft-Entropy-KKT(tau=5),3570.6392212711,1.2560171538,2130.5068628891,12.0000000000,1967.3607787289,0.0257652163,0.3552475223,0.9999976444,5.0346393721e-12,0.0005924000
users,50,35050,50,12,Soft-Entropy-KKT(tau=25),3796.2915047088,7.6550538715,-3849.0199180178,11.9673527809,1741.7084952912,0.0529422787,0.3145013534,1.0000000000,8.8817841970e-16,0.0002444000
users,50,35051,50,12,Hungarian(reference),3440.5213011744,0.0000000000,3440.5213011744,12.0000000000,2112.4786988256,0.0161228210,0.3804211595,0.0000000000,0.0000000000e+00,0.0000650000
users,50,35051,50,12,Continuous-LP(HiGHS),3440.5213011744,0.0000000000,3440.5213011744,12.0000000000,2112.4786988256,0.0161228210,0.3804211595,0.0000000000,0.0000000000e+00,0.0042196000
users,50,35051,50,12,Soft-Entropy-KKT(tau=1),3446.3232447689,0.1686355958,3171.5135804817,12.0000000000,2106.6767552311,0.0179056741,0.3793763291,0.9999997795,8.0605078168e-11,0.0033334000
users,50,35051,50,12,Soft-Entropy-KKT(tau=5),3474.8765509293,0.9985477998,2046.0488394363,12.0000000000,2078.1234490707,0.0266641526,0.3742343686,0.9999986308,1.7852053169e-11,0.0009632000
users,50,35051,50,12,Soft-Entropy-KKT(tau=25),3715.3938177511,7.9892694309,-3898.6269155196,11.9719926491,1837.6061822489,0.0515118246,0.3309213366,1.0000000000,1.1102230246e-15,0.0002476000
users,50,35052,50,12,Hungarian(reference),3277.0404781482,0.0000000000,3277.0404781482,12.0000000000,2118.9595218518,0.0153355036,0.3926907935,0.0000000000,0.0000000000e+00,0.0000525999
users,50,35052,50,12,Continuous-LP(HiGHS),3277.0404781482,0.0000000000,3277.0404781482,12.0000000000,2118.9595218518,0.0153355036,0.3926907935,0.0000000000,0.0000000000e+00,0.0045465000
users,50,35052,50,12,Soft-Entropy-KKT(tau=1),3282.3602500996,0.1623346427,3010.3141550508,12.0000000000,2113.6397499004,0.0180807415,0.3917049203,0.9999998825,6.4457994498e-11,0.0025454001
users,50,35052,50,12,Soft-Entropy-KKT(tau=5),3313.8785589872,1.1241265125,1888.2314085243,12.0000000000,2082.1214410128,0.0288523528,0.3858638697,0.9999988308,3.8043235229e-11,0.0011924000
users,50,35052,50,12,Soft-Entropy-KKT(tau=25),3552.9271829671,8.4187762299,-4029.5517183151,11.9678985005,1843.0728170329,0.0591788649,0.3415627904,1.0000000000,1.2212453271e-15,0.0003512000
users,50,35053,50,12,Hungarian(reference),3657.4841161256,0.0000000000,3657.4841161256,12.0000000000,1997.5158838744,0.0327392803,0.3532300414,0.0000000000,0.0000000000e+00,0.0000573001
users,50,35053,50,12,Continuous-LP(HiGHS),3657.4841161256,0.0000000000,3657.4841161256,12.0000000000,1997.5158838744,0.0327392803,0.3532300414,0.0000000000,0.0000000000e+00,0.0058668001
users,50,35053,50,12,Soft-Entropy-KKT(tau=1),3662.6234318667,0.1405150529,3391.5539891976,12.0000000000,1992.3765681333,0.0339810322,0.3523212322,0.9999997239,5.9186655577e-11,0.0027407999
users,50,35053,50,12,Soft-Entropy-KKT(tau=5),3697.6003858991,1.0968269034,2276.4943315733,11.9999999999,1957.3996141009,0.0434976159,0.3461360944,0.9999979025,8.1789020001e-12,0.0008065001
users,50,35053,50,12,Soft-Entropy-KKT(tau=25),3965.5984259356,8.4242145701,-3659.8193680543,11.9538115687,1689.4015740644,0.0786015267,0.2987447523,1.0000000000,9.9920072216e-16,0.0002466000
users,50,35054,50,12,Hungarian(reference),3289.8685779171,0.0000000000,3289.8685779171,12.0000000000,2173.1314220829,0.0099508805,0.3977908516,0.0000000000,0.0000000000e+00,0.0000634000
users,50,35054,50,12,Continuous-LP(HiGHS),3289.8685779171,0.0000000000,3289.8685779171,12.0000000000,2173.1314220829,0.0099508805,0.3977908516,0.0000000000,0.0000000000e+00,0.0029202000
users,50,35054,50,12,Soft-Entropy-KKT(tau=1),3295.0857073400,0.1585816971,3024.6955501244,12.0000000000,2167.9142926600,0.0136942098,0.3968358581,0.9999998659,8.3792861538e-11,0.0036206000
users,50,35054,50,12,Soft-Entropy-KKT(tau=5),3331.3437993560,1.2606953882,1905.3219950875,12.0000000000,2131.6562006440,0.0233192666,0.3901988286,0.9999990998,3.5806912990e-12,0.0009748000
users,50,35054,50,12,Soft-Entropy-KKT(tau=25),3571.2269898453,8.5522690425,-4013.6496898860,11.9730986015,1891.7730101547,0.0484526483,0.3462883050,1.0000000000,4.6629367034e-15,0.0002745000
users,80,38080,80,12,Hungarian(reference),6589.4331489453,0.0000000000,6589.4331489453,12.0000000000,2193.5668510547,0.0098658191,0.2497514347,0.0000000000,0.0000000000e+00,0.0000593000
users,80,38080,80,12,Continuous-LP(HiGHS),6589.4331489453,0.0000000000,6589.4331489453,12.0000000000,2193.5668510547,0.0098658191,0.2497514347,0.0000000000,0.0000000000e+00,0.0057664000
users,80,38080,80,12,Soft-Entropy-KKT(tau=1),6596.3246674544,0.1045843907,6137.9569667168,12.0000000000,2186.6753325456,0.0135725294,0.2489667918,0.9999996629,8.6214702044e-11,0.0033164000
users,80,38080,80,12,Soft-Entropy-KKT(tau=5),6633.6154615907,0.6705024795,4269.9169872382,12.0000000000,2149.3845384093,0.0239756884,0.2447209995,0.9999976582,1.8003376567e-12,0.0007337000
users,80,38080,80,12,Soft-Entropy-KKT(tau=25),6903.3012437421,4.7632032635,-5456.8224274663,11.9850491954,1879.6987562579,0.0573403674,0.2140155706,1.0000000000,3.2190472510e-11,0.0002622000
users,80,38081,80,12,Hungarian(reference),7069.2498021785,0.0000000000,7069.2498021785,12.0000000000,2188.7501978215,0.0104249105,0.2364171741,0.0000000000,0.0000000000e+00,0.0000676999
users,80,38081,80,12,Continuous-LP(HiGHS),7069.2498021785,0.0000000000,7069.2498021785,12.0000000000,2188.7501978215,0.0104249105,0.2364171741,0.0000000000,0.0000000000e+00,0.0052506999
users,80,38081,80,12,Soft-Entropy-KKT(tau=1),7075.6193151717,0.0901016822,6615.2186356116,12.0000000000,2182.3806848283,0.0133650839,0.2357291731,0.9999994324,3.4928282489e-11,0.0030040001
users,80,38081,80,12,Soft-Entropy-KKT(tau=5),7113.1197527869,0.6205743443,4740.0969904093,12.0000000000,2144.8802472131,0.0230759818,0.2316785750,0.9999985116,1.5138335030e-11,0.0006931000
users,80,38081,80,12,Soft-Entropy-KKT(tau=25),7379.1504104140,4.3837835259,-5029.0379853987,11.9890952721,1878.8495895860,0.0461914671,0.2029433560,1.0000000000,1.9517720773e-12,0.0002008000
users,80,38082,80,12,Hungarian(reference),5822.2710729118,0.0000000000,5822.2710729118,12.0000000000,2105.7289270882,0.0227067074,0.2656065751,0.0000000000,0.0000000000e+00,0.0000868001
users,80,38082,80,12,Continuous-LP(HiGHS),5822.2710729118,0.0000000000,5822.2710729118,12.0000000000,2105.7289270882,0.0227067074,0.2656065751,0.0000000000,0.0000000000e+00,0.0054193001
users,80,38082,80,12,Soft-Entropy-KKT(tau=1),5827.2825490262,0.0860742492,5371.0096544641,12.0000000000,2100.7174509738,0.0249873503,0.2649744514,0.9999993664,7.5523143295e-11,0.0041851001
users,80,38082,80,12,Soft-Entropy-KKT(tau=5),5863.8356159489,0.7138888334,3513.6363639725,12.0000000000,2064.1643840511,0.0342355620,0.2603638224,0.9999971929,3.6973091255e-11,0.0009479000
